montage,epoch,method
full26ch,1sec,logreg
full26ch,2sec,logreg
full26ch,4sec,logreg
full26ch,4sec_overlap3sec,logreg
full26ch,8sec,logreg
4ch_contralateral,1sec,logreg
4ch_contralateral,2sec,logreg
4ch_contralateral,4sec,logreg
4ch_contralateral,4sec_overlap3sec,logreg
4ch_contralateral,8sec,logreg
4ch_xbipolar,1sec,logreg
4ch_xbipolar,2sec,logreg
4ch_xbipolar,4sec,logreg
4ch_xbipolar,4sec_overlap3sec,logreg
4ch_xbipolar,8sec,logreg
2ch_bipolar,1sec,logreg
2ch_bipolar,2sec,logreg
2ch_bipolar,4sec,logreg
2ch_bipolar,4sec_overlap3sec,logreg
2ch_bipolar,8sec,logreg
full26ch,1sec,lora
full26ch,2sec,lora
full26ch,4sec,lora
full26ch,4sec_overlap3sec,lora
full26ch,8sec,lora
4ch_contralateral,1sec,lora
4ch_contralateral,2sec,lora
4ch_contralateral,4sec,lora
4ch_contralateral,4sec_overlap3sec,lora
4ch_contralateral,8sec,lora
4ch_xbipolar,1sec,lora
4ch_xbipolar,2sec,lora
4ch_xbipolar,4sec,lora
4ch_xbipolar,4sec_overlap3sec,lora
4ch_xbipolar,8sec,lora
2ch_bipolar,1sec,lora
2ch_bipolar,2sec,lora
2ch_bipolar,4sec,lora
2ch_bipolar,4sec_overlap3sec,lora
2ch_bipolar,8sec,lora
